City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Tacoma,All Residential,8/1/17,8/31/17,275
Tacoma,All Residential,10/1/17,10/31/17,270
Redmond,All Residential,12/1/17,12/31/17,790
Bellevue,All Residential,12/1/17,12/31/17,852
Mercer Island,All Residential,2/1/18,2/28/18,"1,700"
Sammamish,All Residential,4/1/18,4/30/18,935
Bothell,All Residential,7/1/18,7/31/18,680
Tacoma,All Residential,8/1/18,8/31/18,317
Seattle,All Residential,9/1/18,9/30/18,700
Tacoma,All Residential,9/1/18,9/30/18,307
Mercer Island,All Residential,12/1/18,12/31/18,"2,200"
Tacoma,All Residential,12/1/18,12/31/18,303
Mercer Island,All Residential,1/1/19,1/31/19,"1,610"
Kenmore,All Residential,3/1/19,3/31/19,675
Seattle,All Residential,3/1/19,3/31/19,685
Kent,All Residential,4/1/19,4/30/19,420
Seattle,All Residential,4/1/19,4/30/19,704
Issaquah,All Residential,5/1/19,5/31/19,699
Olympia,All Residential,7/1/19,7/31/19,344
Kirkland,All Residential,7/1/19,7/31/19,779
Sammamish,Condo/Co-op,3/1/10,3/31/10,250
Bellevue,Condo/Co-op,3/1/10,3/31/10,218
Olympia,Condo/Co-op,7/1/10,7/31/10,"1,729"
Olympia,Condo/Co-op,8/1/10,8/31/10,125
Bellevue,Condo/Co-op,8/1/10,8/31/10,234
Bothell,Condo/Co-op,11/1/10,11/30/10,90
Kirkland,Condo/Co-op,12/1/10,12/31/10,280
Sammamish,Condo/Co-op,3/1/11,3/31/11,168
Redmond,Condo/Co-op,4/1/11,4/30/11,184
Sammamish,Condo/Co-op,4/1/11,4/30/11,205
Snoqualmie,Condo/Co-op,5/1/11,5/31/11,193
Mercer Island,Condo/Co-op,5/1/11,5/31/11,225
Olympia,Condo/Co-op,6/1/11,6/30/11,95
Olympia,Condo/Co-op,8/1/11,8/31/11,126
Bellevue,Condo/Co-op,8/1/11,8/31/11,260
Kirkland,Condo/Co-op,8/1/11,8/31/11,187
Sammamish,Condo/Co-op,10/1/11,10/31/11,158
Seattle,Condo/Co-op,11/1/11,11/30/11,233
Kenmore,Condo/Co-op,11/1/11,11/30/11,150
Bothell,Condo/Co-op,1/1/12,1/31/12,75
Bellevue,Condo/Co-op,2/1/12,2/29/12,264
Bellevue,Condo/Co-op,3/1/12,3/31/12,278
