City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Bothell,Condo/Co-op,2/1/18,2/28/18,326
Snoqualmie,Condo/Co-op,4/1/18,4/30/18,448
Issaquah,Condo/Co-op,6/1/18,6/30/18,403
Tacoma,Condo/Co-op,6/1/18,6/30/18,262
Bothell,Condo/Co-op,8/1/18,8/31/18,372
Bellevue,Condo/Co-op,9/1/18,9/30/18,590
Bellevue,Condo/Co-op,10/1/18,10/31/18,480
Redmond,Condo/Co-op,1/1/19,1/31/19,368
Snoqualmie,Condo/Co-op,2/1/19,2/28/19,386
Kenmore,Condo/Co-op,2/1/19,2/28/19,287
Bellevue,Condo/Co-op,3/1/19,3/31/19,460
Tacoma,Condo/Co-op,4/1/19,4/30/19,314
Olympia,Condo/Co-op,6/1/19,6/30/19,211
Issaquah,Condo/Co-op,8/1/19,8/31/19,406
Kent,Condo/Co-op,9/1/19,9/30/19,210
Olympia,Single Family Residential,1/1/10,1/31/10,232
Redmond,Single Family Residential,2/1/10,2/28/10,519
Redmond,Single Family Residential,3/1/10,3/31/10,486
Bothell,Single Family Residential,4/1/10,4/30/10,359
Mercer Island,Single Family Residential,4/1/10,4/30/10,818
Bellevue,Single Family Residential,8/1/10,8/31/10,592
Redmond,Single Family Residential,1/1/11,1/31/11,508
Mercer Island,Single Family Residential,1/1/11,1/31/11,938
Kenmore,Single Family Residential,2/1/11,2/28/11,364
Tacoma,Single Family Residential,2/1/11,2/28/11,161
Bellevue,Single Family Residential,4/1/11,4/30/11,575
Snoqualmie,Single Family Residential,6/1/11,6/30/11,402
Sammamish,Single Family Residential,8/1/11,8/31/11,571
Bellevue,Single Family Residential,10/1/11,10/31/11,500
Sammamish,Single Family Residential,11/1/11,11/30/11,498
Kirkland,Single Family Residential,11/1/11,11/30/11,417
Mercer Island,Single Family Residential,1/1/12,1/31/12,615
Olympia,Single Family Residential,1/1/12,1/31/12,239
Snoqualmie,Single Family Residential,2/1/12,2/29/12,380
Redmond,Single Family Residential,2/1/12,2/29/12,470
Mercer Island,Single Family Residential,3/1/12,3/31/12,819
Sammamish,Single Family Residential,5/1/12,5/31/12,560
Sammamish,Single Family Residential,6/1/12,6/30/12,558
Snoqualmie,Single Family Residential,9/1/12,9/30/12,409
Redmond,Single Family Residential,2/1/13,2/28/13,560
Seattle,Single Family Residential,2/1/13,2/28/13,415
Bothell,Single Family Residential,4/1/13,4/30/13,409
Tacoma,Single Family Residential,4/1/13,4/30/13,175
Mercer Island,Single Family Residential,9/1/13,9/30/13,"1,010"
Kirkland,Single Family Residential,11/1/13,11/30/13,464
Bothell,Single Family Residential,12/1/13,12/31/13,440
Issaquah,Single Family Residential,1/1/14,1/31/14,519
Sammamish,Single Family Residential,1/1/14,1/31/14,639
Tacoma,Single Family Residential,7/1/14,7/31/14,190
Kirkland,Single Family Residential,8/1/14,8/31/14,542
Mercer Island,Single Family Residential,8/1/14,8/31/14,994
Kenmore,Single Family Residential,9/1/14,9/30/14,430
Olympia,Single Family Residential,2/1/15,2/28/15,265
Sammamish,Single Family Residential,5/1/15,5/31/15,728
Bothell,Single Family Residential,6/1/15,6/30/15,495
Redmond,Single Family Residential,7/1/15,7/31/15,725
Seattle,Single Family Residential,10/1/15,10/31/15,553
Mercer Island,Single Family Residential,10/1/15,10/31/15,"1,025"
Kenmore,Single Family Residential,4/1/16,4/30/16,570
Kenmore,Single Family Residential,5/1/16,5/31/16,636
Snoqualmie,Single Family Residential,7/1/16,7/31/16,610
Kent,Single Family Residential,8/1/16,8/31/16,353
Kirkland,Single Family Residential,9/1/16,9/30/16,692
Snoqualmie,Single Family Residential,1/1/17,1/31/17,576
Olympia,Single Family Residential,1/1/17,1/31/17,268
Snoqualmie,Single Family Residential,2/1/17,2/28/17,724
Mercer Island,Single Family Residential,3/1/17,3/31/17,"1,840"
Mercer Island,Single Family Residential,5/1/17,5/31/17,"1,687"
Issaquah,Single Family Residential,10/1/17,10/31/17,850
Tacoma,Single Family Residential,12/1/17,12/31/17,275
Seattle,Single Family Residential,3/1/18,3/31/18,799
Tacoma,Single Family Residential,4/1/18,4/30/18,295
Seattle,Single Family Residential,5/1/18,5/31/18,825
Seattle,Single Family Residential,7/1/18,7/31/18,800
Bellevue,Single Family Residential,7/1/18,7/31/18,"1,170"
Sammamish,Single Family Residential,7/1/18,7/31/18,"1,045"
Issaquah,Single Family Residential,7/1/18,7/31/18,978
Snoqualmie,Single Family Residential,9/1/18,9/30/18,755
Seattle,Single Family Residential,10/1/18,10/31/18,760
Kirkland,Single Family Residential,11/1/18,11/30/18,925
Redmond,Single Family Residential,12/1/18,12/31/18,"1,077"
Issaquah,Single Family Residential,1/1/19,1/31/19,895
Snoqualmie,Single Family Residential,3/1/19,3/31/19,675
Kent,Single Family Residential,5/1/19,5/31/19,454
Sammamish,Single Family Residential,6/1/19,6/30/19,983
Olympia,Multi-Family (2-4 Unit),6/1/10,6/30/10,252
Kent,Multi-Family (2-4 Unit),7/1/11,7/31/11,300
Tacoma,Multi-Family (2-4 Unit),1/1/12,1/31/12,138
Kent,Multi-Family (2-4 Unit),7/1/12,7/31/12,201
Bothell,Multi-Family (2-4 Unit),5/1/14,5/31/14,583
Seattle,Multi-Family (2-4 Unit),6/1/14,6/30/14,658
Bothell,Multi-Family (2-4 Unit),9/1/14,9/30/14,315
Kirkland,Multi-Family (2-4 Unit),7/1/15,7/31/15,710
Kent,Multi-Family (2-4 Unit),12/1/15,12/31/15,356
Seattle,Multi-Family (2-4 Unit),1/1/16,1/31/16,750
Olympia,Multi-Family (2-4 Unit),2/1/16,2/29/16,188
Kent,Multi-Family (2-4 Unit),3/1/16,3/31/16,329
Tacoma,Multi-Family (2-4 Unit),9/1/16,9/30/16,257
Seattle,Multi-Family (2-4 Unit),11/1/17,11/30/17,880
Tacoma,Multi-Family (2-4 Unit),1/1/18,1/31/18,322
Redmond,Multi-Family (2-4 Unit),8/1/18,8/31/18,961
Issaquah,Multi-Family (2-4 Unit),9/1/18,9/30/18,"1,275"
Seattle,Multi-Family (2-4 Unit),9/1/18,9/30/18,943
Tacoma,Multi-Family (2-4 Unit),11/1/18,11/30/18,350
Tacoma,Multi-Family (2-4 Unit),3/1/11,3/31/11,151
Seattle,Multi-Family (2-4 Unit),4/1/11,4/30/11,493
Seattle,Multi-Family (2-4 Unit),7/1/11,7/31/11,458
Seattle,Multi-Family (2-4 Unit),3/1/12,3/31/12,430
Seattle,Multi-Family (2-4 Unit),8/1/12,8/31/12,490
Seattle,Multi-Family (2-4 Unit),11/1/12,11/30/12,498
Tacoma,Multi-Family (2-4 Unit),2/1/13,2/28/13,153
Kirkland,Multi-Family (2-4 Unit),4/1/13,4/30/13,455
Seattle,Multi-Family (2-4 Unit),7/1/13,7/31/13,618
Seattle,Multi-Family (2-4 Unit),12/1/13,12/31/13,580
Kent,Multi-Family (2-4 Unit),8/1/14,8/31/14,240
Seattle,Multi-Family (2-4 Unit),2/1/15,2/28/15,470
Seattle,Multi-Family (2-4 Unit),3/1/15,3/31/15,669
Olympia,Multi-Family (2-4 Unit),5/1/15,5/31/15,329
Bothell,Multi-Family (2-4 Unit),10/1/15,10/31/15,525
Tacoma,Multi-Family (2-4 Unit),6/1/16,6/30/16,357
Tacoma,Multi-Family (2-4 Unit),10/1/16,10/31/16,320
Seattle,Multi-Family (2-4 Unit),11/1/16,11/30/16,775
Olympia,Multi-Family (2-4 Unit),12/1/16,12/31/16,219
Tacoma,Multi-Family (2-4 Unit),1/1/17,1/31/17,260
Seattle,Multi-Family (2-4 Unit),6/1/17,6/30/17,940
Olympia,Multi-Family (2-4 Unit),7/1/17,7/31/17,335
Kent,Multi-Family (2-4 Unit),12/1/17,12/31/17,451
Tacoma,Multi-Family (2-4 Unit),12/1/17,12/31/17,235
Bellevue,Multi-Family (2-4 Unit),6/1/18,6/30/18,"1,563"
Bellevue,Multi-Family (2-4 Unit),8/1/18,8/31/18,"1,585"
Seattle,Multi-Family (2-4 Unit),8/1/18,8/31/18,998
Seattle,Multi-Family (2-4 Unit),4/1/19,4/30/19,814
Tacoma,Multi-Family (2-4 Unit),5/1/19,5/31/19,342
Tacoma,Multi-Family (2-4 Unit),7/1/19,7/31/19,380
Bothell,Townhouse,3/1/10,3/31/10,259
Issaquah,Townhouse,3/1/10,3/31/10,356
Seattle,Townhouse,1/1/11,1/31/11,292
Sammamish,Townhouse,6/1/11,6/30/11,265
Snoqualmie,Townhouse,7/1/11,7/31/11,150
Redmond,Townhouse,10/1/11,10/31/11,250
Kirkland,Townhouse,10/1/11,10/31/11,352
Snoqualmie,Townhouse,10/1/11,10/31/11,109
Kirkland,Townhouse,11/1/11,11/30/11,305
Olympia,Townhouse,3/1/12,3/31/12,85
Tacoma,Townhouse,4/1/12,4/30/12,144
Bothell,Townhouse,9/1/12,9/30/12,216
Redmond,Townhouse,10/1/12,10/31/12,262
Kenmore,Townhouse,1/1/13,1/31/13,270
Bellevue,Townhouse,2/1/13,2/28/13,291
Bellevue,Townhouse,5/1/13,5/31/13,322
Kenmore,Townhouse,11/1/13,11/30/13,226
Seattle,Townhouse,12/1/13,12/31/13,394
Snoqualmie,Townhouse,1/1/14,1/31/14,267
Kenmore,Townhouse,1/1/14,1/31/14,270
Bothell,Townhouse,2/1/14,2/28/14,281
Kenmore,Townhouse,3/1/14,3/31/14,300
Seattle,Townhouse,3/1/14,3/31/14,395
Kent,Townhouse,4/1/14,4/30/14,155
Redmond,Townhouse,6/1/14,6/30/14,335
Olympia,Townhouse,6/1/14,6/30/14,190
Bothell,Townhouse,7/1/14,7/31/14,234
Snoqualmie,Townhouse,9/1/14,9/30/14,332
Kent,Townhouse,2/1/15,2/28/15,213
Bothell,Townhouse,3/1/15,3/31/15,340
Kirkland,Townhouse,3/1/15,3/31/15,424
Sammamish,Townhouse,4/1/15,4/30/15,401
Kent,Townhouse,7/1/15,7/31/15,235
Bellevue,Townhouse,8/1/15,8/31/15,437
Kirkland,Townhouse,8/1/15,8/31/15,458
Bellevue,Townhouse,9/1/15,9/30/15,374
Bothell,Townhouse,10/1/15,10/31/15,349
Snoqualmie,Townhouse,1/1/16,1/31/16,380
Bothell,Townhouse,2/1/16,2/29/16,365
Kent,Townhouse,3/1/16,3/31/16,260
Seattle,Townhouse,6/1/16,6/30/16,535
Redmond,Townhouse,2/1/17,2/28/17,595
Kenmore,Townhouse,3/1/17,3/31/17,420
Seattle,Townhouse,6/1/17,6/30/17,658
Bellevue,Townhouse,10/1/17,10/31/17,530
Redmond,Townhouse,2/1/18,2/28/18,650
Snoqualmie,Townhouse,2/1/18,2/28/18,480
Sammamish,Townhouse,3/1/18,3/31/18,680
Seattle,Townhouse,5/1/18,5/31/18,736
Olympia,Townhouse,5/1/18,5/31/18,301
Sammamish,Townhouse,6/1/18,6/30/18,577
Tacoma,Townhouse,7/1/18,7/31/18,240
Seattle,Townhouse,7/1/18,7/31/18,723
Snoqualmie,Townhouse,10/1/18,10/31/18,688
Sammamish,Townhouse,2/1/19,2/28/19,555
Kirkland,Townhouse,3/1/19,3/31/19,705
Tacoma,Townhouse,8/1/19,8/31/19,333
Tacoma,Townhouse,9/1/19,9/30/19,339
Kent,Single Family Residential,1/1/10,1/31/10,263
Mercer Island,Single Family Residential,2/1/10,2/28/10,"1,325"
Seattle,Single Family Residential,3/1/10,3/31/10,405
Sammamish,Single Family Residential,5/1/10,5/31/10,537
Sammamish,Single Family Residential,6/1/10,6/30/10,577
Kirkland,Single Family Residential,6/1/10,6/30/10,487
Sammamish,Single Family Residential,7/1/10,7/31/10,550
Kent,Single Family Residential,8/1/10,8/31/10,250
Kenmore,Single Family Residential,8/1/10,8/31/10,351
Seattle,Single Family Residential,12/1/10,12/31/10,410
Tacoma,Single Family Residential,3/1/11,3/31/11,160
Seattle,Single Family Residential,4/1/11,4/30/11,380
Issaquah,Single Family Residential,4/1/11,4/30/11,460
Redmond,Single Family Residential,5/1/11,5/31/11,526
Snoqualmie,Single Family Residential,5/1/11,5/31/11,402
Mercer Island,Single Family Residential,6/1/11,6/30/11,874
Tacoma,Single Family Residential,8/1/11,8/31/11,147
Kenmore,Single Family Residential,12/1/11,12/31/11,371
Snoqualmie,Single Family Residential,12/1/11,12/31/11,391
Snoqualmie,Single Family Residential,1/1/12,1/31/12,370
Bellevue,Single Family Residential,2/1/12,2/29/12,499
Bellevue,Single Family Residential,5/1/12,5/31/12,573
Kenmore,Single Family Residential,7/1/12,7/31/12,321
Snoqualmie,Single Family Residential,8/1/12,8/31/12,421
Seattle,Single Family Residential,8/1/12,8/31/12,409
Kirkland,Single Family Residential,9/1/12,9/30/12,480
Olympia,Single Family Residential,10/1/12,10/31/12,250
Redmond,Single Family Residential,12/1/12,12/31/12,560
Snoqualmie,Single Family Residential,1/1/13,1/31/13,473
Snoqualmie,Single Family Residential,2/1/13,2/28/13,436
Seattle,Single Family Residential,3/1/13,3/31/13,440
Mercer Island,Single Family Residential,4/1/13,4/30/13,"1,078"
Kent,Single Family Residential,7/1/13,7/31/13,270
Olympia,Single Family Residential,10/1/13,10/31/13,238
Redmond,Single Family Residential,10/1/13,10/31/13,653
Bothell,Single Family Residential,10/1/13,10/31/13,380
Redmond,Single Family Residential,11/1/13,11/30/13,631
Olympia,Single Family Residential,12/1/13,12/31/13,247
Seattle,Single Family Residential,12/1/13,12/31/13,450
Issaquah,Single Family Residential,2/1/14,2/28/14,634
Snoqualmie,Single Family Residential,2/1/14,2/28/14,447
Bothell,Single Family Residential,7/1/14,7/31/14,425
Kent,Single Family Residential,7/1/14,7/31/14,300
Sammamish,Single Family Residential,8/1/14,8/31/14,715
Bellevue,Single Family Residential,10/1/14,10/31/14,768
Kirkland,Single Family Residential,10/1/14,10/31/14,572
Mercer Island,Single Family Residential,11/1/14,11/30/14,"1,400"
Tacoma,Single Family Residential,11/1/14,11/30/14,199
Tacoma,Single Family Residential,1/1/15,1/31/15,173
Kirkland,Single Family Residential,2/1/15,2/28/15,571
Mercer Island,Single Family Residential,3/1/15,3/31/15,"1,083"
Redmond,Single Family Residential,4/1/15,4/30/15,703
Kent,Single Family Residential,6/1/15,6/30/15,333
Bellevue,Single Family Residential,10/1/15,10/31/15,822
Bothell,Single Family Residential,10/1/15,10/31/15,496
Snoqualmie,Single Family Residential,5/1/16,5/31/16,619
Snoqualmie,Single Family Residential,9/1/16,9/30/16,620
Mercer Island,Single Family Residential,10/1/16,10/31/16,"1,410"
Bothell,Single Family Residential,12/1/16,12/31/16,570
Tacoma,Single Family Residential,12/1/16,12/31/16,240
Bothell,Single Family Residential,1/1/17,1/31/17,600
Kenmore,Single Family Residential,2/1/17,2/28/17,648
Tacoma,Single Family Residential,3/1/17,3/31/17,255
Redmond,Single Family Residential,8/1/17,8/31/17,890
Issaquah,Single Family Residential,8/1/17,8/31/17,823
Issaquah,Single Family Residential,1/1/18,1/31/18,987
Tacoma,Single Family Residential,1/1/18,1/31/18,270
Kirkland,Single Family Residential,6/1/18,6/30/18,"1,033"
Sammamish,Single Family Residential,6/1/18,6/30/18,"1,018"
Bothell,Single Family Residential,8/1/18,8/31/18,725
Olympia,Single Family Residential,10/1/18,10/31/18,320
Redmond,Single Family Residential,10/1/18,10/31/18,932
Mercer Island,Single Family Residential,11/1/18,11/30/18,"1,643"
Snoqualmie,Single Family Residential,12/1/18,12/31/18,694
Kent,Single Family Residential,1/1/19,1/31/19,449
Bothell,Single Family Residential,4/1/19,4/30/19,710
Kent,Single Family Residential,4/1/19,4/30/19,460
Snoqualmie,Single Family Residential,6/1/19,6/30/19,746
Sammamish,Single Family Residential,3/1/10,3/31/10,560
Kent,Single Family Residential,5/1/10,5/31/10,258
Tacoma,Single Family Residential,9/1/10,9/30/10,195
Bothell,Single Family Residential,11/1/10,11/30/10,319
Sammamish,Single Family Residential,12/1/10,12/31/10,542
Bothell,Single Family Residential,1/1/11,1/31/11,329
Bellevue,Single Family Residential,3/1/11,3/31/11,515
Bellevue,Single Family Residential,5/1/11,5/31/11,585
Tacoma,Single Family Residential,5/1/11,5/31/11,150
Seattle,Single Family Residential,7/1/11,7/31/11,400
Snoqualmie,Single Family Residential,10/1/11,10/31/11,441
Mercer Island,Single Family Residential,10/1/11,10/31/11,"1,085"
Tacoma,Single Family Residential,12/1/11,12/31/11,142
Sammamish,Single Family Residential,3/1/12,3/31/12,543
Seattle,Single Family Residential,3/1/12,3/31/12,415
Snoqualmie,Single Family Residential,4/1/12,4/30/12,417
Bellevue,Single Family Residential,6/1/12,6/30/12,640
Olympia,Single Family Residential,8/1/12,8/31/12,232
Seattle,Single Family Residential,9/1/12,9/30/12,419
Bothell,Single Family Residential,11/1/12,11/30/12,361
Kirkland,Single Family Residential,12/1/12,12/31/12,435
Olympia,Single Family Residential,1/1/13,1/31/13,237
Bothell,Single Family Residential,1/1/13,1/31/13,360
Seattle,Single Family Residential,1/1/13,1/31/13,399
Issaquah,Single Family Residential,2/1/13,2/28/13,535
Olympia,Single Family Residential,7/1/13,7/31/13,246
Sammamish,Single Family Residential,8/1/13,8/31/13,665
Seattle,Single Family Residential,10/1/13,10/31/13,471
Bellevue,Single Family Residential,11/1/13,11/30/13,640
Sammamish,Single Family Residential,2/1/14,2/28/14,632
Seattle,Single Family Residential,4/1/14,4/30/14,471
Bellevue,Single Family Residential,5/1/14,5/31/14,750
Bothell,Single Family Residential,5/1/14,5/31/14,469
Sammamish,Single Family Residential,7/1/14,7/31/14,672
Sammamish,Single Family Residential,9/1/14,9/30/14,655
Redmond,Single Family Residential,10/1/14,10/31/14,652
Tacoma,Single Family Residential,10/1/14,10/31/14,190
Tacoma,Single Family Residential,2/1/15,2/28/15,197
Bothell,Single Family Residential,5/1/15,5/31/15,497
Seattle,Single Family Residential,9/1/15,9/30/15,560
Seattle,Single Family Residential,11/1/15,11/30/15,577
Bellevue,Single Family Residential,3/1/16,3/31/16,890
Bellevue,Single Family Residential,12/1/16,12/31/16,950
Bothell,Single Family Residential,2/1/17,2/28/17,615
Olympia,Single Family Residential,3/1/17,3/31/17,290
Bothell,Single Family Residential,3/1/17,3/31/17,647
Tacoma,Single Family Residential,4/1/17,4/30/17,260
Bothell,Single Family Residential,6/1/17,6/30/17,629
Seattle,Single Family Residential,12/1/17,12/31/17,710
Mercer Island,Single Family Residential,2/1/18,2/28/18,"1,825"
Redmond,Single Family Residential,4/1/18,4/30/18,979
Mercer Island,Single Family Residential,4/1/18,4/30/18,"1,615"
Kenmore,Single Family Residential,9/1/18,9/30/18,675
Bellevue,Single Family Residential,11/1/18,11/30/18,959
Sammamish,Single Family Residential,11/1/18,11/30/18,993
Bellevue,Single Family Residential,1/1/19,1/31/19,968
Tacoma,Single Family Residential,1/1/19,1/31/19,299
Kenmore,Single Family Residential,8/1/19,8/31/19,698
Kent,Single Family Residential,9/1/19,9/30/19,462
Kenmore,Single Family Residential,9/1/19,9/30/19,675
Seattle,Townhouse,4/1/10,4/30/10,374
Tacoma,Townhouse,7/1/10,7/31/10,192
Mercer Island,Townhouse,8/1/10,8/31/10,434
Mercer Island,Townhouse,11/1/10,11/30/10,360
Seattle,Townhouse,11/1/10,11/30/10,320
Issaquah,Townhouse,12/1/10,12/31/10,301
Sammamish,Townhouse,7/1/11,7/31/11,236
Issaquah,Townhouse,8/1/11,8/31/11,232
Issaquah,Townhouse,11/1/11,11/30/11,305
Tacoma,Townhouse,11/1/11,11/30/11,155
Bothell,Townhouse,12/1/11,12/31/11,189
Sammamish,Townhouse,1/1/12,1/31/12,299
Sammamish,Townhouse,3/1/12,3/31/12,250
Kent,Townhouse,4/1/12,4/30/12,140
Kirkland,Townhouse,6/1/12,6/30/12,287
Snoqualmie,Townhouse,8/1/12,8/31/12,318
Tacoma,Townhouse,8/1/12,8/31/12,112
Bellevue,Townhouse,9/1/12,9/30/12,299
Bothell,Townhouse,11/1/12,11/30/12,235
Kenmore,Townhouse,2/1/13,2/28/13,235
Tacoma,Townhouse,3/1/13,3/31/13,180
Snoqualmie,Townhouse,9/1/13,9/30/13,383
Bellevue,Townhouse,12/1/13,12/31/13,384
Kent,Townhouse,3/1/14,3/31/14,153
Sammamish,Townhouse,5/1/14,5/31/14,359
Kenmore,Townhouse,5/1/14,5/31/14,238
Seattle,Townhouse,6/1/14,6/30/14,435
Sammamish,Townhouse,7/1/14,7/31/14,292
Kent,Townhouse,8/1/14,8/31/14,166
Tacoma,Townhouse,8/1/14,8/31/14,132
Kenmore,Townhouse,2/1/15,2/28/15,285
Kenmore,Townhouse,3/1/15,3/31/15,217
Tacoma,Townhouse,3/1/15,3/31/15,150
Mercer Island,Townhouse,4/1/15,4/30/15,362
Bothell,Townhouse,6/1/15,6/30/15,320
Seattle,Townhouse,11/1/15,11/30/15,558
Bellevue,Townhouse,12/1/15,12/31/15,338
Issaquah,Townhouse,2/1/16,2/29/16,567
Tacoma,Townhouse,2/1/16,2/29/16,198
Bellevue,Townhouse,3/1/16,3/31/16,425
Kirkland,Townhouse,4/1/16,4/30/16,430
Snoqualmie,Townhouse,7/1/16,7/31/16,440
Mercer Island,Townhouse,11/1/16,11/30/16,"1,075"
Issaquah,Townhouse,11/1/16,11/30/16,510
Bellevue,Townhouse,11/1/16,11/30/16,572
Olympia,Townhouse,1/1/17,1/31/17,180
Olympia,Townhouse,2/1/17,2/28/17,258
Olympia,Townhouse,3/1/17,3/31/17,199
Kent,Townhouse,3/1/17,3/31/17,259
Issaquah,Townhouse,4/1/17,4/30/17,510
Kirkland,Townhouse,4/1/17,4/30/17,545
Bothell,Townhouse,6/1/17,6/30/17,400
Bellevue,Townhouse,8/1/17,8/31/17,600
Kirkland,Townhouse,8/1/17,8/31/17,525
Tacoma,Townhouse,10/1/17,10/31/17,205
Bothell,Townhouse,11/1/17,11/30/17,430
Sammamish,Townhouse,12/1/17,12/31/17,610
Olympia,Townhouse,1/1/18,1/31/18,317
Seattle,Townhouse,2/1/18,2/28/18,710
Olympia,Townhouse,4/1/18,4/30/18,200
Olympia,Townhouse,8/1/18,8/31/18,247
Seattle,Townhouse,10/1/18,10/31/18,665
Sammamish,Townhouse,12/1/18,12/31/18,512
Bellevue,Townhouse,12/1/18,12/31/18,770
Bothell,Townhouse,1/1/19,1/31/19,450
Seattle,Townhouse,4/1/19,4/30/19,653
Bellevue,Townhouse,8/1/19,8/31/19,741
Bellevue,Townhouse,9/1/19,9/30/19,710
Seattle,Townhouse,1/1/10,1/31/10,350
Tacoma,Townhouse,2/1/10,2/28/10,168
Olympia,Townhouse,3/1/10,3/31/10,190
Kent,Townhouse,3/1/10,3/31/10,191
Sammamish,Townhouse,5/1/10,5/31/10,360
Kenmore,Townhouse,5/1/10,5/31/10,259
Snoqualmie,Townhouse,6/1/10,6/30/10,327
Kirkland,Townhouse,7/1/10,7/31/10,364
Olympia,Townhouse,8/1/10,8/31/10,160
Snoqualmie,Townhouse,8/1/10,8/31/10,374
Bothell,Townhouse,8/1/10,8/31/10,209
Olympia,Townhouse,10/1/10,10/31/10,216
Bellevue,Townhouse,11/1/10,11/30/10,356
Tacoma,Townhouse,11/1/10,11/30/10,203
Olympia,Townhouse,1/1/11,1/31/11,154
Bothell,Townhouse,6/1/11,6/30/11,215
Olympia,Townhouse,8/1/11,8/31/11,235
Seattle,Townhouse,8/1/11,8/31/11,322
Bellevue,Townhouse,10/1/11,10/31/11,356
Bothell,Townhouse,11/1/11,11/30/11,201
Snoqualmie,Townhouse,12/1/11,12/31/11,310
Redmond,Townhouse,1/1/12,1/31/12,283
Sammamish,Townhouse,2/1/12,2/29/12,246
Kent,Townhouse,3/1/12,3/31/12,113
Bellevue,Townhouse,6/1/12,6/30/12,373
Bothell,Townhouse,7/1/12,7/31/12,225
Kenmore,Townhouse,7/1/12,7/31/12,127
Kent,Townhouse,8/1/12,8/31/12,110
Tacoma,Townhouse,9/1/12,9/30/12,138
Olympia,Townhouse,10/1/12,10/31/12,168
Seattle,Townhouse,5/1/13,5/31/13,383
Redmond,Townhouse,5/1/13,5/31/13,365
Bothell,Townhouse,6/1/13,6/30/13,206
Kenmore,Townhouse,7/1/13,7/31/13,333
Bellevue,Townhouse,9/1/13,9/30/13,350
Issaquah,Townhouse,1/1/14,1/31/14,385
Kirkland,Townhouse,1/1/14,1/31/14,325
Kent,Townhouse,2/1/14,2/28/14,157
Seattle,Townhouse,5/1/14,5/31/14,384
Issaquah,Townhouse,9/1/14,9/30/14,362
Sammamish,Townhouse,10/1/14,10/31/14,398
Tacoma,Townhouse,10/1/14,10/31/14,125
Kenmore,Townhouse,11/1/14,11/30/14,263
Kenmore,Townhouse,1/1/15,1/31/15,447
Kirkland,Townhouse,1/1/15,1/31/15,453
Bellevue,Townhouse,2/1/15,2/28/15,520
Redmond,Townhouse,3/1/15,3/31/15,410
Kent,Townhouse,6/1/15,6/30/15,225
Bothell,Townhouse,8/1/15,8/31/15,349
Seattle,Townhouse,10/1/15,10/31/15,460
Sammamish,Townhouse,4/1/16,4/30/16,491
Issaquah,Townhouse,6/1/16,6/30/16,550
Seattle,Townhouse,9/1/16,9/30/16,559
Bothell,Townhouse,1/1/17,1/31/17,365
Tacoma,Townhouse,1/1/17,1/31/17,210
Bellevue,Townhouse,3/1/17,3/31/17,502
Olympia,Townhouse,4/1/17,4/30/17,235
Olympia,Townhouse,5/1/17,5/31/17,231
Redmond,Townhouse,8/1/17,8/31/17,600
Seattle,Townhouse,12/1/17,12/31/17,685
Bothell,Townhouse,4/1/18,4/30/18,475
Seattle,Townhouse,4/1/18,4/30/18,727
Bellevue,Townhouse,5/1/18,5/31/18,735
Kirkland,Townhouse,5/1/18,5/31/18,767
Tacoma,Townhouse,5/1/18,5/31/18,215
Kenmore,Townhouse,7/1/18,7/31/18,695
Issaquah,Townhouse,8/1/18,8/31/18,585
Bothell,Townhouse,8/1/18,8/31/18,510
Tacoma,Townhouse,10/1/18,10/31/18,280
Bellevue,Townhouse,11/1/18,11/30/18,768
Sammamish,Townhouse,3/1/19,3/31/19,599
Tacoma,Townhouse,3/1/19,3/31/19,306
Snoqualmie,Townhouse,4/1/19,4/30/19,543
Tacoma,Townhouse,4/1/19,4/30/19,329
Seattle,Townhouse,8/1/19,8/31/19,673
Bellevue,All Residential,3/1/10,3/31/10,449
Seattle,All Residential,5/1/10,5/31/10,379
Kenmore,All Residential,5/1/10,5/31/10,360
Seattle,All Residential,7/1/10,7/31/10,405
Snoqualmie,All Residential,9/1/10,9/30/10,450
Redmond,All Residential,4/1/11,4/30/11,430
Kirkland,All Residential,5/1/11,5/31/11,350
Issaquah,All Residential,7/1/11,7/31/11,430
Olympia,All Residential,8/1/11,8/31/11,245
Kenmore,All Residential,9/1/11,9/30/11,364
Seattle,All Residential,11/1/11,11/30/11,305
Kirkland,All Residential,11/1/11,11/30/11,338
Tacoma,All Residential,3/1/12,3/31/12,140
Kenmore,All Residential,4/1/12,4/30/12,305
Issaquah,All Residential,7/1/12,7/31/12,375
Seattle,All Residential,12/1/12,12/31/12,363
Bothell,All Residential,2/1/13,2/28/13,350
Kirkland,All Residential,2/1/13,2/28/13,373
Tacoma,All Residential,2/1/13,2/28/13,164
Olympia,All Residential,4/1/13,4/30/13,242
Bothell,All Residential,5/1/13,5/31/13,384
Sammamish,All Residential,5/1/13,5/31/13,570
Issaquah,All Residential,5/1/13,5/31/13,475
Sammamish,All Residential,9/1/13,9/30/13,575
Kirkland,All Residential,9/1/13,9/30/13,410
Redmond,All Residential,10/1/13,10/31/13,528
Kent,All Residential,10/1/13,10/31/13,249
Kenmore,All Residential,12/1/13,12/31/13,402
Olympia,All Residential,1/1/14,1/31/14,229
Olympia,All Residential,2/1/14,2/28/14,225
Bellevue,All Residential,3/1/14,3/31/14,527
Redmond,All Residential,3/1/15,3/31/15,510
Bothell,All Residential,4/1/15,4/30/15,450
